x,discharge
-4.937500e+01,2.888222e+01
-4.812500e+01,1.852197e+01
-4.687500e+01,1.663316e+01
-4.562500e+01,1.567989e+01
-4.437500e+01,1.502115e+01
-4.312500e+01,1.451314e+01
-4.187500e+01,1.409743e+01
-4.062500e+01,1.374441e+01
-3.937500e+01,1.343711e+01
-3.812500e+01,1.316493e+01
-3.687500e+01,1.292081e+01
-3.562500e+01,1.269979e+01
-3.437500e+01,1.249827e+01
-3.312500e+01,1.231355e+01
-3.187500e+01,1.214354e+01
-3.062500e+01,1.198659e+01
-2.937500e+01,1.184138e+01
-2.812500e+01,1.170681e+01
-2.687500e+01,1.158200e+01
-2.562500e+01,1.146619e+01
-2.437500e+01,1.135872e+01
-2.312500e+01,1.125905e+01
-2.187500e+01,1.116670e+01
-2.062500e+01,1.108124e+01
-1.937500e+01,1.100232e+01
-1.812500e+01,1.092960e+01
-1.687500e+01,1.086281e+01
-1.562500e+01,1.080170e+01
-1.437500e+01,1.074604e+01
-1.312500e+01,1.069563e+01
-1.187500e+01,1.065031e+01
-1.062500e+01,1.060993e+01
-9.375000e+00,1.057434e+01
-8.125000e+00,1.054344e+01
-6.875000e+00,1.051713e+01
-5.625000e+00,1.049533e+01
-4.375000e+00,1.047797e+01
-3.125000e+00,1.046499e+01
-1.875000e+00,1.045636e+01
-6.250000e-01,1.045205e+01
6.250000e-01,1.045205e+01
1.875000e+00,1.045636e+01
3.125000e+00,1.046499e+01
4.375000e+00,1.047797e+01
5.625000e+00,1.049533e+01
6.875000e+00,1.051713e+01
8.125000e+00,1.054344e+01
9.375000e+00,1.057434e+01
1.062500e+01,1.060993e+01
1.187500e+01,1.065031e+01
1.312500e+01,1.069563e+01
1.437500e+01,1.074604e+01
1.562500e+01,1.080170e+01
1.687500e+01,1.086281e+01
1.812500e+01,1.092960e+01
1.937500e+01,1.100232e+01
2.062500e+01,1.108124e+01
2.187500e+01,1.116670e+01
2.312500e+01,1.125905e+01
2.437500e+01,1.135872e+01
2.562500e+01,1.146619e+01
2.687500e+01,1.158200e+01
2.812500e+01,1.170681e+01
2.937500e+01,1.184138e+01
3.062500e+01,1.198659e+01
3.187500e+01,1.214354e+01
3.312500e+01,1.231355e+01
3.437500e+01,1.249827e+01
3.562500e+01,1.269979e+01
3.687500e+01,1.292081e+01
3.812500e+01,1.316493e+01
3.937500e+01,1.343711e+01
4.062500e+01,1.374441e+01
4.187500e+01,1.409743e+01
4.312500e+01,1.451314e+01
4.437500e+01,1.502115e+01
4.562500e+01,1.567989e+01
4.687500e+01,1.663316e+01
4.812500e+01,1.852197e+01
4.937500e+01,2.888222e+01
