totim,single_obs0,single_obs1,single_obs2,single_well,network_obs0,network_obs1,network_obs2,network_well
3.549466e-06,1.106262e-04,0.000000e+00,0.000000e+00,2.915115e-01,1.144409e-04,0.000000e+00,0.000000e+00,2.915115e-01
7.808826e-06,6.866455e-04,0.000000e+00,0.000000e+00,4.639435e-01,6.904602e-04,0.000000e+00,0.000000e+00,4.639473e-01
1.292006e-05,2.380371e-03,0.000000e+00,0.000000e+00,6.058502e-01,2.384186e-03,0.000000e+00,0.000000e+00,6.058540e-01
1.905354e-05,6.072998e-03,0.000000e+00,0.000000e+00,7.249908e-01,6.080627e-03,0.000000e+00,0.000000e+00,7.249947e-01
2.641371e-05,1.272202e-02,0.000000e+00,0.000000e+00,8.273315e-01,1.273727e-02,0.000000e+00,0.000000e+00,8.273392e-01
3.524592e-05,2.309799e-02,0.000000e+00,0.000000e+00,9.171028e-01,2.312088e-02,0.000000e+00,0.000000e+00,9.171066e-01
4.584457e-05,3.763580e-02,0.000000e+00,0.000000e+00,9.971848e-01,3.766632e-02,0.000000e+00,0.000000e+00,9.971886e-01
5.856295e-05,5.637741e-02,0.000000e+00,0.000000e+00,1.069576e+00,5.641937e-02,0.000000e+00,0.000000e+00,1.069584e+00
7.382501e-05,7.905960e-02,3.814697e-06,0.000000e+00,1.135780e+00,7.911301e-02,3.814697e-06,0.000000e+00,1.135784e+00
9.213948e-05,1.052284e-01,1.525879e-05,0.000000e+00,1.196995e+00,1.052933e-01,1.525879e-05,0.000000e+00,1.196999e+00
1.141169e-04,1.343803e-01,4.959106e-05,0.000000e+00,1.254211e+00,1.344528e-01,4.959106e-05,0.000000e+00,1.254219e+00
1.404897e-04,1.660309e-01,1.449585e-04,0.000000e+00,1.308270e+00,1.661148e-01,1.449585e-04,0.000000e+00,1.308277e+00
1.721371e-04,1.997566e-01,3.738403e-04,3.814697e-06,1.359829e+00,1.998558e-01,3.738403e-04,3.814697e-06,1.359837e+00
2.101140e-04,2.352104e-01,8.735657e-04,1.525879e-05,1.409409e+00,2.353172e-01,8.735657e-04,1.525879e-05,1.409416e+00
2.556863e-04,2.720909e-01,1.850128e-03,3.433228e-05,1.457409e+00,2.722054e-01,1.850128e-03,3.433228e-05,1.457417e+00
3.103730e-04,3.101654e-01,3.604889e-03,7.629395e-05,1.504139e+00,3.102913e-01,3.604889e-03,7.629395e-05,1.504150e+00
3.759971e-04,3.492851e-01,6.511688e-03,1.602173e-04,1.549881e+00,3.494186e-01,6.511688e-03,1.602173e-04,1.549889e+00
4.547460e-04,3.893890e-01,1.100922e-02,3.280640e-04,1.594913e+00,3.895302e-01,1.101303e-02,3.280640e-04,1.594921e+00
5.492447e-04,4.305534e-01,1.759338e-02,6.294250e-04,1.639576e+00,4.307022e-01,1.760101e-02,6.294250e-04,1.639587e+00
6.626431e-04,4.730034e-01,2.679062e-02,1.152039e-03,1.684299e+00,4.731598e-01,2.679825e-02,1.152039e-03,1.684307e+00
7.987212e-04,5.171318e-01,3.916550e-02,2.021790e-03,1.729614e+00,5.172958e-01,3.917313e-02,2.021790e-03,1.729626e+00
9.620150e-04,5.634689e-01,5.532837e-02,3.414154e-03,1.776146e+00,5.636406e-01,5.533981e-02,3.414154e-03,1.776161e+00
1.157967e-03,6.126366e-01,7.593155e-02,5.558014e-03,1.824551e+00,6.128159e-01,7.594681e-02,5.554199e-03,1.824566e+00
1.393110e-03,6.652756e-01,1.016426e-01,8.735657e-03,1.875492e+00,6.654587e-01,1.016617e-01,8.735657e-03,1.875507e+00
1.675282e-03,7.219810e-01,1.331139e-01,1.330185e-02,1.929558e+00,7.221680e-01,1.331406e-01,1.330185e-02,1.929573e+00
2.013888e-03,7.832451e-01,1.709328e-01,1.964951e-02,1.987255e+00,7.834396e-01,1.709633e-01,1.964569e-02,1.987274e+00
2.420215e-03,8.494377e-01,2.155762e-01,2.821732e-02,2.048981e+00,8.496361e-01,2.156105e-01,2.821350e-02,2.049000e+00
2.907808e-03,9.207954e-01,2.673798e-01,3.946686e-02,2.115036e+00,9.210014e-01,2.674217e-01,3.946304e-02,2.115059e+00
3.492919e-03,9.974518e-01,3.265305e-01,5.389786e-02,2.185654e+00,9.976616e-01,3.265762e-01,5.389023e-02,2.185677e+00
4.195053e-03,1.079430e+00,3.930626e-01,7.201004e-02,2.260998e+00,1.079643e+00,3.931122e-01,7.200241e-02,2.261024e+00
5.037613e-03,1.166687e+00,4.668770e-01,9.433365e-02,2.341190e+00,1.166908e+00,4.669266e-01,9.432220e-02,2.341217e+00
6.048685e-03,1.259125e+00,5.477600e-01,1.213951e-01,2.426296e+00,1.259350e+00,5.478172e-01,1.213799e-01,2.426327e+00
7.261972e-03,1.356594e+00,6.354179e-01,1.537209e-01,2.516342e+00,1.356819e+00,6.354790e-01,1.537056e-01,2.516369e+00
8.717916e-03,1.458904e+00,7.294922e-01,1.918106e-01,2.611301e+00,1.459133e+00,7.295532e-01,1.917953e-01,2.611336e+00
1.046505e-02,1.565845e+00,8.295746e-01,2.361374e-01,2.711094e+00,1.566078e+00,8.296432e-01,2.361183e-01,2.711128e+00
1.256161e-02,1.677181e+00,9.352531e-01,2.870979e-01,2.815601e+00,1.677418e+00,9.353218e-01,2.870789e-01,2.815636e+00
1.507748e-02,1.792656e+00,1.046085e+00,3.450127e-01,2.924648e+00,1.792896e+00,1.046158e+00,3.449898e-01,2.924690e+00
1.809653e-02,1.912006e+00,1.161648e+00,4.100990e-01,3.038033e+00,1.912247e+00,1.161720e+00,4.100761e-01,3.038074e+00
2.171938e-02,2.034950e+00,1.281509e+00,4.824562e-01,3.155510e+00,2.035194e+00,1.281586e+00,4.824333e-01,3.155548e+00
2.606681e-02,2.161209e+00,1.405266e+00,5.620613e-01,3.276806e+00,2.161453e+00,1.405342e+00,5.620384e-01,3.276848e+00
3.128372e-02,2.290489e+00,1.532520e+00,6.487617e-01,3.401634e+00,2.290737e+00,1.532597e+00,6.487389e-01,3.401676e+00
3.754402e-02,2.422508e+00,1.662899e+00,7.422981e-01,3.529690e+00,2.422760e+00,1.662979e+00,7.422752e-01,3.529736e+00
4.505637e-02,2.556992e+00,1.796047e+00,8.423195e-01,3.660675e+00,2.557243e+00,1.796127e+00,8.422966e-01,3.660717e+00
5.407120e-02,2.693665e+00,1.931637e+00,9.483986e-01,3.794281e+00,2.693916e+00,1.931721e+00,9.483757e-01,3.794327e+00
6.488899e-02,2.832272e+00,2.069366e+00,1.060059e+00,3.930222e+00,2.832527e+00,2.069450e+00,1.060040e+00,3.930267e+00
7.787034e-02,2.972580e+00,2.208961e+00,1.176804e+00,4.068222e+00,2.972836e+00,2.209042e+00,1.176785e+00,4.068268e+00
9.344796e-02,3.114372e+00,2.350163e+00,1.298122e+00,4.208027e+00,3.114624e+00,2.350246e+00,1.298100e+00,4.208076e+00
1.121411e-01,3.257442e+00,2.492756e+00,1.423504e+00,4.349396e+00,3.257698e+00,2.492840e+00,1.423481e+00,4.349445e+00
1.345729e-01,3.401611e+00,2.636532e+00,1.552467e+00,4.492111e+00,3.401867e+00,2.636620e+00,1.552448e+00,4.492157e+00
1.614910e-01,3.546715e+00,2.781315e+00,1.684559e+00,4.635979e+00,3.546970e+00,2.781399e+00,1.684536e+00,4.636024e+00
1.937928e-01,3.692600e+00,2.926937e+00,1.819351e+00,4.780815e+00,3.692856e+00,2.927021e+00,1.819328e+00,4.780861e+00
2.325549e-01,3.839127e+00,3.073242e+00,1.956448e+00,4.926453e+00,3.839382e+00,3.073326e+00,1.956425e+00,4.926506e+00
2.790694e-01,3.986145e+00,3.220081e+00,2.095470e+00,5.072723e+00,3.986401e+00,3.220165e+00,2.095448e+00,5.072773e+00
3.348869e-01,4.133499e+00,3.367287e+00,2.236057e+00,5.219444e+00,4.133759e+00,3.367371e+00,2.236038e+00,5.219494e+00
4.018678e-01,4.281033e+00,3.514694e+00,2.377876e+00,5.366444e+00,4.281292e+00,3.514778e+00,2.377857e+00,5.366493e+00
4.822450e-01,4.428604e+00,3.662163e+00,2.520638e+00,5.513569e+00,4.428860e+00,3.662247e+00,2.520618e+00,5.513618e+00
5.786975e-01,4.576118e+00,3.809593e+00,2.664116e+00,5.660709e+00,4.576374e+00,3.809677e+00,2.664097e+00,5.660759e+00
6.944406e-01,4.723572e+00,3.956974e+00,2.808197e+00,5.807850e+00,4.723831e+00,3.957062e+00,2.808178e+00,5.807899e+00
8.333323e-01,4.871128e+00,4.104477e+00,2.952953e+00,5.955151e+00,4.871387e+00,4.104561e+00,2.952934e+00,5.955200e+00
1.000002e+00,5.019253e+00,4.252552e+00,3.098774e+00,6.103058e+00,5.019512e+00,4.252636e+00,3.098755e+00,6.103111e+00
